Modified Name,Proteins,Carbs,Fats,Fiber,Item Details
Arbi aur Dal Sabji,5.7 g,21.0 g,4.7 g,4.4 g,130.0 g - 146 Cal
"Absolute BCAA, Absolute Nutrition",6.5 g,0.0 g,0.0 g,0.0 g,13.0 g - 26 Cal
"Absolute Karboz, Absolute Nutrition",0.0 g,44.0 g,0.0 g,0.5 g,50.0 g - 176 Cal
"Absolute Shredder, Absolute Nutrition",0.0 g,0.0 g,0.0 g,0.0 g,1.0 g - 0 Cal
Absolut Cranberry,0.8 g,23.6 g,0.3 g,0.2 g,250.0 ml - 207 Cal
Absolute 3G Multivitamin,0.0 g,0.0 g,0.0 g,0.0 g,1.2 g - 0 Cal
"Absolut DM, Pharmed Limited",0.0 g,0.0 g,0.0 g,0.0 g,1.0 g - 0 Cal
"Absolute Gold Capsule, Pharmed",0.0 g,0.1 g,0.0 g,0.0 g,0.6 g - 0 Cal
Atta Bati,1.8 g,10.4 g,5.0 g,1.6 g,30.0 g - 94 Cal
Idli Batter Attu,3.0 g,18.2 g,4.2 g,1.6 g,78.0 g - 122 Cal
Atta Bathua Poori,3.4 g,19.0 g,7.3 g,3.0 g,50.0 g - 155 Cal
Bathua Oats Atta Roti,3.4 g,15.4 g,2.3 g,2.1 g,50.0 g - 96 Cal
"SimMom, Vanilla, Abott",2.5 g,8.6 g,0.1 g,0.0 g,12.5 g - 45 Cal
"PediaSure 7+, Vanilla, Abott",1.7 g,11.6 g,0.1 g,0.0 g,15.0 g - 55 Cal
Aburi Salmon Sushi,4.1 g,9.1 g,7.4 g,0.0 g,60.0 g - 129 Cal
Malu Abulthiyal,35.0 g,4.1 g,4.5 g,0.6 g,250.0 g - 182 Cal
Alugadda akulu,1.3 g,1.1 g,0.3 g,0.0 g,30.0 g - 12 Cal
"Food You Feel Good About Fresh Baby Arugula, Wegmans",0.5 g,0.8 g,0.0 g,0.3 g,21.3 g - 5 Cal
"Ayurvedic Latte, Amul",4.9 g,25.2 g,5.4 g,0.0 g,180.0 ml - 167 Cal
"Absolute Isorich Whey Protein, Chocolate, Avvatar",28.0 g,1.0 g,1.2 g,0.0 g,35.0 g - 126 Cal
"Absolute 100% Whey Protein Powder, Unflavoured, Avvatar",27.6 g,3.0 g,2.1 g,0.0 g,35.0 g - 141 Cal
"Absolute 100% Whey Protein, Belgian Chocolate, Avvatar",24.0 g,4.1 g,1.9 g,1.0 g,35.0 g - 129 Cal
"Abon Sapi Bawang, Gloria",2.7 g,4.0 g,2.3 g,0.0 g,10.0 g - 47 Cal
"Mi Instan Kuah, Ayam Bawang, ABC",6.0 g,40.0 g,13.0 g,3.0 g,65.0 g - 300 Cal
"Abon Sapi Bawang Pedas, Gloria",2.6 g,4.1 g,2.3 g,0.0 g,10.0 g - 48 Cal
"Mi Kuah Instan Cup, Ayam Bawang, ABC",7.0 g,35.0 g,13.0 g,4.0 g,60.0 g - 280 Cal
Acaraje,5.0 g,9.9 g,12.9 g,2.9 g,95.0 g - 173 Cal
Acassan,3.0 g,52.0 g,6.0 g,1.0 g,325.0 ml - 280 Cal
Acai Bowl,2.2 g,25.8 g,5.2 g,2.8 g,150.0 g - 226 Cal
Acar Buah,0.4 g,5.2 g,3.5 g,0.0 g,15.0 g - 54 Cal
Acar Timun,0.1 g,0.3 g,0.0 g,0.1 g,5.0 g - 2 Cal
Acar Sayur,0.1 g,1.4 g,0.7 g,0.2 g,15.0 g - 12 Cal
Acai Berry,0.0 g,0.0 g,0.0 g,0.0 g,1.0 g - 1 Cal
Acai Juice,0.0 g,0.1 g,0.0 g,0.0 g,1.0 ml - 0 Cal
Achari Arbi,1.2 g,30.8 g,9.9 g,5.4 g,100.0 g - 215 Cal
Arbi ka Achaar,0.1 g,0.8 g,0.1 g,0.1 g,10.0 g - 3 Cal
"Limcee Active Tablets, Abbott",0.1 g,0.2 g,0.0 g,0.0 g,0.5 g - 1 Cal
Amba Haldi Achar,0.3 g,2.4 g,0.6 g,0.9 g,5.0 g - 16 Cal
Ambazhanga Achar,0.1 g,1.7 g,0.7 g,0.0 g,15.0 g - 13 Cal
Food To Nourish Activated ABC Spread,3.7 g,4.9 g,9.1 g,1.5 g,20.0 g - 117 Cal
"Activated ABC Spread, Food To Nourish",3.7 g,4.9 g,9.1 g,1.5 g,20.0 g - 117 Cal
Acibadem Kurabiyesi,4.2 g,19.5 g,6.2 g,0.8 g,40.0 g - 148 Cal
Acchellu,1.7 g,2.3 g,3.9 g,1.5 g,9.0 g - 51 Cal
Acchar ka Masala,0.5 g,1.5 g,1.4 g,0.7 g,5.0 g - 19 Cal
"Juice, apple and grape blend, with added ascorbic acid",0.1 g,3.7 g,0.0 g,0.1 g,29.6 g - 15 Cal
"Juice, apple, grape and pear blend, with added ascorbic acid and calcium",0.1 g,3.8 g,0.0 g,0.1 g,29.6 g - 15 Cal
"Pear nectar, canned, with added ascorbic acid",0.0 g,4.7 g,0.0 g,0.2 g,29.6 g - 18 Cal
"Peach nectar, canned, with added ascorbic acid",0.1 g,4.1 g,0.0 g,0.2 g,29.6 g - 16 Cal
"Whey, Acid, Fuid",1.9 g,12.6 g,0.2 g,0.0 g,246.0 ml - 59 Cal
"Pear nectar, canned, without added ascorbic acid",0.0 g,4.7 g,0.0 g,0.2 g,29.6 g - 18 Cal
"Apricot nectar, canned, with added ascorbic acid",0.1 g,4.3 g,0.0 g,0.2 g,29.6 g - 17 Cal
"Peach nectar, canned, without added ascorbic acid",0.1 g,4.1 g,0.0 g,0.2 g,29.6 g - 16 Cal
"Ace Juice, Delmonte",0.4 g,25.0 g,0.0 g,0.4 g,200.0 ml - 102 Cal
ACE Baguette Bagel,8.0 g,50.0 g,4.5 g,2.0 g,102.0 g - 270 Cal
"ACE Baguette Bagel, Starbucks",8.0 g,50.0 g,4.5 g,2.0 g,102.0 g - 270 Cal
"ACE Cheddar & Onion Bialy, Starbucks",8.0 g,38.0 g,8.0 g,2.0 g,89.0 g - 250 Cal
"ACE Cheddar and Onion Bialy, Starbucks",8.0 g,38.0 g,8.0 g,2.0 g,89.0 g - 250 Cal
"Ace Minuman Susu Probiotik Kultur, Yakult",1.0 g,14.7 g,0.0 g,0.0 g,80.0 g - 62 Cal
"ACE Perry Hard Cider, California Cider Company",0.0 g,0.0 g,0.0 g,0.0 g,354.9 ml - 150 Cal
"Ace Light Minuman Susu Probiotik Kultur, Yakult",0.9 g,9.5 g,0.0 g,0.2 g,80.0 ml - 45 Cal
ACV,0.0 g,0.1 g,0.0 g,0.0 g,5.0 ml - 0 Cal
Acha,28.8 g,9.7 g,8.9 g,0.0 g,159.0 g - 234 Cal
Achar,0.1 g,0.5 g,0.9 g,0.2 g,5.0 g - 10 Cal
Acorn,1.8 g,11.5 g,6.8 g,0.0 g,1.00 oz - 110 Cal
Mi Aceh,11.4 g,24.8 g,8.8 g,2.6 g,250.0 g - 223 Cal
Achma,22.2 g,49.7 g,19.9 g,1.9 g,205.0 g - 466 Cal
Achaar,0.1 g,0.5 g,0.9 g,0.2 g,5.0 g - 10 Cal
Mie Aceh,11.4 g,24.8 g,8.8 g,2.6 g,250.0 g - 223 Cal
Angoor Achaar,0.1 g,0.7 g,1.1 g,0.2 g,5.0 g - 13 Cal
"Bingo Mad Angles, Achari Masti, ITC",1.9 g,20.2 g,9.7 g,0.0 g,33.0 g - 174 Cal
"Bingo! Mad Angles, Achari Masti, ITC",1.9 g,20.2 g,9.7 g,0.0 g,33.0 g - 174 Cal
Acheke,1.0 g,81.0 g,2.0 g,2.0 g,100.0 g - 340 Cal
Achwani,5.4 g,39.2 g,35.1 g,3.0 g,100.0 g - 491 Cal
Achiras,1.4 g,8.1 g,2.9 g,0.3 g,20.0 g - 64 Cal
Achappam,1.3 g,11.2 g,7.0 g,0.5 g,30.0 g - 111 Cal
Aci Goreng,0.2 g,8.0 g,2.2 g,0.0 g,20.0 g - 51 Cal
Acimuruku,0.8 g,6.1 g,4.3 g,0.2 g,18.0 g - 65 Cal
"Acini di Pepe, De Cecco",32.0 g,160.0 g,4.0 g,8.0 g,224.0 g - 800 Cal
Bakso Aci,9.0 g,35.3 g,1.8 g,1.3 g,250.0 g - 191 Cal
Tahu Aci Garing,2.5 g,6.6 g,10.6 g,0.5 g,50.0 g - 131 Cal
Pempek Aci Ikan,0.9 g,2.5 g,1.1 g,0.0 g,10.0 g - 23 Cal
Pempek Aci Ayam,0.9 g,2.5 g,1.3 g,0.0 g,10.0 g - 25 Cal
"Acnechio-OD Tablets, Senechio Pharma",0.5 g,0.5 g,0.0 g,0.0 g,1.2 g - 5 Cal
"Acnechio OD Tablets, Senechio Pharma",0.5 g,0.5 g,0.0 g,0.0 g,1.2 g - 5 Cal
"Acne Fighter Bubbly Effervescent Tablets, Mango, Plix",0.0 g,0.5 g,0.0 g,0.0 g,4.2 g - 2 Cal
Aconite bean,46.3 g,110.7 g,2.2 g,29.6 g,196.0 g - 647 Cal
"Ube Candy, Annie's",0.8 g,13.0 g,0.0 g,0.0 g,6.0 g - 55 Cal
"Langka Candy, Annie's",3.0 g,12.0 g,0.0 g,0.0 g,6.0 g - 60 Cal
Acorn stew (Apache),1.9 g,2.6 g,1.0 g,0.2 g,1.00 oz - 27 Cal
