Modified Name,Proteins,Carbs,Fats,Fiber,Item Details
Airfried Golgappa,0.5 g,3.8 g,0.2 g,0.2 g,7.0 g - 19 Cal
Airfried Garlic Bread,4.7 g,22.4 g,0.7 g,1.0 g,40.0 g - 114 Cal
Airfried Sprouts Tikki,1.4 g,7.6 g,0.9 g,1.1 g,50.0 g - 42 Cal
Airfried Chicken Cutlet,5.9 g,6.3 g,1.7 g,0.5 g,50.0 g - 65 Cal
Air Anggur,1.0 g,35.9 g,0.6 g,2.5 g,250.0 ml - 154 Cal
Ais Krim Anggur,0.6 g,24.7 g,5.1 g,0.2 g,66.0 g - 144 Cal
"San Mig Light Beer, San Miguel",0.0 g,0.0 g,0.0 g,0.0 g,354.0 ml - 150 Cal
Light High Protein Milk,15.0 g,8.8 g,3.8 g,0.0 g,250.0 ml - 130 Cal
Teh Hijau Ais,0.5 g,11.3 g,0.0 g,0.0 g,250.0 ml - 46 Cal
Teh Hijau Susu Ais,7.3 g,28.1 g,5.9 g,0.0 g,250.0 ml - 191 Cal
Aiskrim Teh Hijau,3.5 g,11.1 g,10.7 g,0.0 g,66.0 g - 155 Cal
Air Teh Hijau Tanpa Gula,0.0 g,0.0 g,0.0 g,0.0 g,180.0 ml - 0 Cal
Aikrim Soya,2.6 g,15.4 g,2.6 g,0.0 g,66.0 g - 95 Cal
Aila Fish,42.5 g,1.1 g,3.8 g,0.0 g,225.0 g - 209 Cal
"Roasted Corn Cracker, Aim",0.5 g,3.5 g,0.8 g,0.0 g,5.0 g - 23 Cal
Ain ,22.7 g,2.5 g,9.3 g,0.0 g,119.0 g - 184 Cal
Aioli Sauce,0.2 g,0.1 g,3.6 g,0.0 g,5.0 g - 33 Cal
Ais,0.0 g,0.0 g,0.0 g,0.0 g,21.0 g - 0 Cal
Teh O Ais,0.1 g,17.5 g,0.0 g,0.1 g,250.0 ml - 68 Cal
Air Sirap Mix,0.0 g,2.5 g,0.0 g,0.0 g,5.0 g - 10 Cal
Teh o Ais Limau Mix,0.0 g,2.9 g,0.0 g,0.0 g,3.0 g - 12 Cal
Air Fried Mixed Dal Vada,3.6 g,9.8 g,0.9 g,1.7 g,40.0 g - 61 Cal
Air Fried Mix Dal Pakoda,1.4 g,4.8 g,0.7 g,0.8 g,20.0 g - 30 Cal
Lemon Aiyu Jelly,0.2 g,32.0 g,0.1 g,0.2 g,350.0 g - 126 Cal
Plain Aiyu Jelly,0.0 g,42.7 g,0.0 g,0.1 g,250.0 g - 167 Cal
Ayam Air Fried,29.0 g,8.6 g,5.0 g,0.7 g,155.0 g - 202 Cal
"Sosej Pulut, Aisyah",10.3 g,10.1 g,0.9 g,0.0 g,71.4 g - 89 Cal
Ajamo,0.3 g,0.5 g,0.5 g,0.4 g,2.1 g - 8 Cal
Ajma,0.3 g,0.5 g,0.5 g,0.4 g,2.1 g - 8 Cal
"Tumix Anchovy Stock, Ajinomoto",0.4 g,1.6 g,0.0 g,0.0 g,4.0 g - 8 Cal
Ajwan,0.3 g,0.5 g,0.5 g,0.4 g,2.1 g - 8 Cal
Ajvar,0.1 g,0.3 g,0.2 g,0.2 g,5.0 g - 3 Cal
Ajika,0.1 g,0.3 g,0.0 g,0.1 g,5.0 g - 2 Cal
Ajmud,0.1 g,0.6 g,0.0 g,0.3 g,17.0 g - 3 Cal
Saunf and Ajwain Water,0.5 g,1.1 g,0.6 g,1.4 g,250.0 ml - 11 Cal
Ajwain and Saunf Water,0.5 g,1.1 g,0.6 g,1.4 g,250.0 ml - 11 Cal
Methi and Ajwain Water,0.2 g,0.3 g,0.1 g,0.4 g,250.0 ml - 3 Cal
Manoli Kadle Ajadina,4.3 g,14.7 g,6.3 g,7.5 g,100.0 g - 133 Cal
Saunf and Ajwain Warm Water,0.5 g,1.1 g,0.6 g,1.4 g,250.0 ml - 11 Cal
Roti with Ajwain and Sesame Oil,3.0 g,15.0 g,3.9 g,3.5 g,38.0 g - 107 Cal
Aji Verde,0.2 g,0.1 g,1.8 g,0.1 g,5.0 g - 19 Cal
Air Asam,0.1 g,0.4 g,0.0 g,0.1 g,5.0 g - 2 Cal
Ainaas,2.1 g,36.5 g,6.7 g,0.6 g,60.0 g - 213 Cal
Air Asam Boi,0.0 g,4.7 g,0.6 g,0.0 g,250.0 ml - 24 Cal
Air Asam Jawa,0.9 g,38.4 g,0.1 g,0.3 g,250.0 ml - 158 Cal
Ajmana pan,1.1 g,0.3 g,0.1 g,0.3 g,17.0 g - 6 Cal
Ajmer Kachori,6.4 g,30.5 g,12.7 g,2.8 g,100.0 g - 263 Cal
Ajmeri Mixture,1.4 g,4.1 g,4.3 g,0.0 g,10.0 g - 55 Cal
Ajmeri Namkeen,1.4 g,4.1 g,4.3 g,0.0 g,10.0 g - 55 Cal
Ajmeri Kalakand,5.6 g,13.9 g,7.1 g,0.1 g,50.0 g - 139 Cal
Ajmeri Chicken Curry,19.9 g,5.8 g,5.0 g,1.8 g,150.0 g - 147 Cal
Lahm Bi Ajin,14.9 g,28.0 g,16.8 g,2.8 g,150.0 g - 325 Cal
Ajinomoto,0.0 g,0.0 g,0.0 g,0.0 g,4.0 g - 0 Cal
Lahm Bi Ajin Manakish,14.9 g,28.0 g,16.8 g,2.8 g,150.0 g - 325 Cal
"Saori Saus Tiram, Ajinomoto",0.0 g,1.0 g,0.0 g,0.0 g,5.8 ml - 5 Cal
Ajapsandali,2.0 g,14.5 g,4.0 g,3.3 g,150.0 g - 100 Cal
"Hot Apple Pie, McDonald's [JP]",1.9 g,26.8 g,10.7 g,1.0 g,81.0 g - 211 Cal
"Apple & Cream, McDonald's [JP]",0.2 g,4.3 g,1.5 g,0.0 g,8.0 g - 31 Cal
Ajo Blanco,10.2 g,27.0 g,33.8 g,4.9 g,250.0 g - 454 Cal
Ajwain Aloo,2.3 g,21.8 g,5.1 g,4.1 g,100.0 g - 140 Cal
"Galleta Con Quinua y Ajonjoli, Incasur",1.0 g,20.0 g,7.0 g,1.0 g,30.0 g - 149 Cal
"Poulet Bouillon, Sans Sel Ajoute, Campbell's",0.1 g,0.1 g,0.0 g,0.0 g,15.0 ml - 1 Cal
Ajwain,0.3 g,0.5 g,0.5 g,0.4 g,2.1 g - 8 Cal
Ajiaco,10.6 g,28.8 g,7.2 g,3.2 g,250.0 g - 217 Cal
Ajar Thai Salad,1.8 g,8.3 g,0.4 g,1.8 g,139.0 g - 41 Cal
Ajarian Khachapuri,22.2 g,49.7 g,19.9 g,1.9 g,205.0 g - 466 Cal
Amritsari Ajwain Paneer,11.6 g,8.4 g,14.2 g,2.6 g,130.0 g - 205 Cal
Jeera Alsi Ajwain Powder,0.4 g,0.8 g,0.7 g,0.7 g,2.3 g - 10 Cal
Atta Ajwain Biscuit,0.6 g,6.3 g,2.8 g,0.0 g,10.0 g - 53 Cal
Kaju Aluwa,2.0 g,28.0 g,2.3 g,0.2 g,40.0 g - 139 Cal
Aujhi,3.4 g,19.2 g,6.3 g,0.8 g,150.0 g - 147 Cal
Ajwain Fan,0.5 g,3.3 g,2.9 g,0.2 g,10.0 g - 42 Cal
Ajwa Dates,0.2 g,6.9 g,0.0 g,0.6 g,8.0 g - 29 Cal
Ajwain Tea,0.1 g,0.1 g,0.1 g,0.2 g,180.0 ml - 1 Cal
Ajwain Dal,6.5 g,16.8 g,5.6 g,0.6 g,150.0 g - 143 Cal
Ajwain Roti,2.8 g,15.9 g,1.3 g,2.6 g,35.0 g - 86 Cal
Aka Kulith Usal,7.0 g,18.3 g,4.4 g,3.6 g,130.0 g - 153 Cal
"Aka Miso, Urban Platter",1.0 g,2.0 g,0.0 g,0.0 g,10.0 g - 15 Cal
Akara,1.3 g,4.2 g,2.6 g,1.6 g,30.0 g - 45 Cal
Akawi,6.0 g,1.0 g,6.0 g,0.0 g,0.99 oz - 84 Cal
Akakara,2.9 g,7.2 g,0.9 g,2.8 g,93.0 g - 48 Cal
Akawieh,6.0 g,1.0 g,6.0 g,0.0 g,0.99 oz - 84 Cal
Akakarakaya Fry,3.0 g,7.8 g,7.2 g,3.2 g,100.0 g - 107 Cal
Akakarakaya Curry,2.5 g,8.8 g,3.5 g,3.3 g,150.0 g - 76 Cal
Akok,2.4 g,9.4 g,5.3 g,0.3 g,43.0 g - 92 Cal
Akuri,6.4 g,4.6 g,10.7 g,1.0 g,91.4 g - 137 Cal
Akule,30.0 g,0.0 g,4.7 g,0.0 g,310.0 g - 163 Cal
Aki Ilu,3.2 g,46.3 g,5.9 g,6.8 g,130.0 g - 265 Cal
Akki Kadubu,1.4 g,16.9 g,0.7 g,0.7 g,45.0 g - 81 Cal
Akher Gur,0.0 g,3.2 g,0.0 g,0.0 g,3.4 g - 13 Cal
Akher Ros,0.3 g,22.8 g,0.5 g,0.3 g,250.0 ml - 98 Cal
Baked Milk Cake,4.0 g,15.1 g,5.0 g,0.0 g,50.0 g - 120 Cal
Baked Rice Cake,2.2 g,17.1 g,6.1 g,0.5 g,45.0 g - 131 Cal
Baked Moon Cake,4.3 g,30.0 g,16.3 g,4.3 g,70.0 g - 281 Cal
Baked Crab Cake,6.7 g,5.7 g,12.7 g,0.4 g,90.0 g - 172 Cal
No Bake Cheese Cake,2.4 g,6.6 g,12.7 g,0.5 g,40.0 g - 148 Cal
Seb Angoor Akhrot Salad,1.4 g,12.1 g,6.8 g,2.5 g,100.0 g - 115 Cal
Akha Moong,49.7 g,117.4 g,2.7 g,34.6 g,207.0 g - 691 Cal
Akha Masoor,3.0 g,7.1 g,0.1 g,1.9 g,12.0 g - 41 Cal
Akhju Dorua,0.3 g,22.8 g,0.5 g,0.3 g,250.0 ml - 98 Cal
"Kaju Akhrot Plaza, Amul",2.7 g,12.7 g,6.8 g,0.0 g,1.00 oz - 123 Cal
Anjeer Akhrot Ice Cream,2.5 g,14.4 g,8.2 g,1.1 g,66.0 g - 140 Cal
Akki Rotti,2.2 g,26.7 g,4.9 g,1.4 g,80.0 g - 162 Cal
Akki Huggi,1.6 g,3.3 g,5.6 g,0.0 g,150.0 g - 67 Cal
Akki Ganji,1.9 g,15.9 g,7.0 g,1.5 g,130.0 g - 134 Cal
Ava akulu,2.2 g,1.8 g,0.3 g,1.9 g,56.0 g - 19 Cal
Mulaga akulu,0.1 g,0.1 g,0.0 g,0.1 g,1.0 g - 1 Cal
Sanaga akulu,0.1 g,0.2 g,0.0 g,0.0 g,1.0 g - 1 Cal
Kusuma akulu,0.6 g,1.0 g,0.1 g,0.0 g,22.0 g - 7 Cal
Gajjara akulu,0.1 g,0.3 g,0.0 g,0.0 g,2.2 g - 2 Cal
"Met-Pco Care Tablet, Akumentis",0.0 g,0.0 g,0.0 g,0.0 g,0.4 g - 0 Cal
Memoni Akni,5.6 g,9.3 g,4.6 g,0.8 g,124.0 g - 98 Cal
Chicken Akni,7.1 g,19.7 g,4.4 g,0.6 g,124.0 g - 150 Cal
Khajing Akangbagi Kanghou,14.1 g,4.0 g,5.5 g,1.1 g,100.0 g - 125 Cal
Gosht Akhni,15.6 g,4.0 g,15.5 g,0.4 g,150.0 g - 217 Cal
Meat Akhnee,5.6 g,9.3 g,4.6 g,0.8 g,124.0 g - 98 Cal
Ankurit Moong Kanji,5.3 g,20.7 g,5.1 g,0.8 g,150.0 g - 148 Cal
Akoori,6.4 g,4.6 g,10.7 g,1.0 g,91.4 g - 137 Cal
Akoume,3.5 g,38.0 g,0.4 g,1.0 g,200.0 g - 172 Cal
Akok Kedut,2.4 g,9.4 g,5.3 g,0.3 g,43.0 g - 92 Cal
Akok Berlauk,10.0 g,17.5 g,17.6 g,2.0 g,114.0 g - 260 Cal
Kuih Akok,2.4 g,9.4 g,5.3 g,0.3 g,43.0 g - 92 Cal
Terengganu Akok,2.8 g,8.4 g,6.1 g,0.0 g,35.0 g - 94 Cal
Kuih Akok Berlauk,10.0 g,17.5 g,17.6 g,2.0 g,114.0 g - 260 Cal
"Ready to Drink Apple Cider Vinegar, Akiva",0.1 g,4.7 g,0.0 g,0.0 g,40.0 ml - 19 Cal
Akhrot aur Gud,0.9 g,9.4 g,3.7 g,0.4 g,15.0 g - 75 Cal
Doodh aur Akhrot,8.8 g,11.4 g,14.0 g,0.4 g,250.0 ml - 206 Cal
Til Akhrot aur Shakar,0.7 g,1.6 g,2.4 g,0.4 g,5.0 g - 30 Cal
Akhrot aur Khajur Bar,1.9 g,11.9 g,5.5 g,1.5 g,30.0 g - 104 Cal
"Cow Ghee, Akshayakalpa",0.0 g,0.0 g,3.1 g,0.0 g,3.1 g - 28 Cal
Assam Laksa Paste,0.5 g,1.1 g,0.0 g,0.0 g,5.0 g - 7 Cal
"Organic Cow Milk, Akshayakalpa",8.8 g,11.8 g,8.0 g,0.0 g,250.0 ml - 151 Cal
"Organic Cow Ghee, Akshayakalpa",0.0 g,0.0 g,3.1 g,0.0 g,3.1 g - 28 Cal
"Ragi Dosa Batter, Akshayakalpa",5.9 g,57.8 g,1.4 g,0.0 g,225.0 g - 266 Cal
"Dosa Batter, Ragi, Akshayakalpa",5.9 g,57.8 g,1.4 g,0.0 g,225.0 g - 266 Cal
"Organic Slim Milk, Akshayakalpa",7.8 g,12.5 g,1.3 g,0.0 g,250.0 ml - 92 Cal
"Lactose Free Milk, Akshayakalpa",8.8 g,12.0 g,8.0 g,0.0 g,250.0 ml - 151 Cal
"Akta Grekisk Yoghurt, 0% Fett, Larsa Foods",24.5 g,11.0 g,0.0 g,0.0 g,245.0 g - 142 Cal
Aktual High Protein Caramel Crunch Bar,20.0 g,24.6 g,10.8 g,13.6 g,65.0 g - 224 Cal
Aktual All Natural Trail Mix Protein Bar,12.0 g,26.4 g,11.2 g,2.3 g,60.0 g - 248 Cal
"Akta Plain Non-Fat Greek Yoghurt, Larsa Foods",24.5 g,11.0 g,0.0 g,0.0 g,245.0 g - 142 Cal
Aktual All Natural Chocolate Fudge Protein Bar,12.0 g,29.1 g,8.2 g,3.0 g,60.0 g - 229 Cal
Kathal Atta Dosa,1.5 g,11.2 g,5.6 g,2.1 g,60.0 g - 101 Cal
Singhara Atta Katli,1.1 g,15.0 g,1.6 g,0.3 g,60.0 g - 78 Cal
Akukura Pappu,5.5 g,15.3 g,3.5 g,3.0 g,150.0 g - 114 Cal
Akuri Pattice,2.2 g,8.4 g,6.2 g,0.7 g,50.0 g - 97 Cal
Akuri na Patties,2.2 g,8.4 g,6.2 g,0.7 g,50.0 g - 97 Cal
Bobbarlu Aku,0.1 g,0.1 g,0.0 g,0.0 g,3.0 g - 1 Cal
Telagapindi Aku Pesarapappu,6.4 g,17.8 g,2.4 g,2.3 g,100.0 g - 120 Cal
Telagapindi Aku Kandipappu,5.1 g,15.1 g,3.6 g,2.2 g,100.0 g - 114 Cal
"Aloe Vera Glow Shot, aKiva",0.1 g,4.3 g,0.0 g,0.0 g,40.0 ml - 18 Cal
"Masala Jaggery Candy, akiva",0.1 g,3.7 g,0.0 g,0.0 g,5.0 g - 15 Cal
"Matcha Peanut Butter, Akiva",1.5 g,1.0 g,2.4 g,0.5 g,5.3 g - 31 Cal
Avarekaalu Akki Rotti,3.7 g,20.0 g,5.9 g,1.1 g,80.0 g - 147 Cal
"Cinnamon Jaggery Candy, akiva",0.0 g,3.8 g,0.0 g,0.0 g,5.0 g - 15 Cal
Akwukwo Ugwu,1.0 g,1.6 g,0.6 g,0.6 g,1.00 oz - 17 Cal
Ofe Akwu,25.7 g,6.5 g,18.4 g,1.6 g,250.0 g - 292 Cal
Bakwan Kawi,15.1 g,29.8 g,8.5 g,1.9 g,250.0 g - 259 Cal
"Grape Molasses, Alwadi Al Akhdar",0.0 g,4.7 g,0.0 g,0.0 g,6.0 g - 19 Cal
Ala Dosi,1.0 g,11.8 g,1.1 g,0.2 g,40.0 g - 60 Cal
Ala Bola,1.1 g,7.0 g,6.1 g,0.9 g,40.0 g - 87 Cal
Ala Hodi,4.1 g,34.0 g,13.7 g,5.6 g,250.0 g - 266 Cal
Ala Thel Dala,2.1 g,22.9 g,7.7 g,2.2 g,166.0 g - 168 Cal
Aladu,0.5 g,7.3 g,0.3 g,1.9 g,66.0 g - 34 Cal
Alambe,0.3 g,0.3 g,0.0 g,0.1 g,10.0 g - 2 Cal
Alavang,1.2 g,8.5 g,4.4 g,1.1 g,25.0 g - 79 Cal
Alaichi,0.2 g,0.9 g,0.1 g,0.5 g,2.0 g - 5 Cal
Albume,3.6 g,0.3 g,0.1 g,0.0 g,33.0 g - 17 Cal
Alboori,1.6 g,18.0 g,4.0 g,0.5 g,30.0 g - 113 Cal
Albakara,0.5 g,7.5 g,0.2 g,0.9 g,66.0 g - 30 Cal
Albus de ou Fiert,3.6 g,0.2 g,0.2 g,0.0 g,32.0 g - 17 Cal
Albondigas Soup,12.3 g,11.5 g,8.5 g,3.3 g,250.0 g - 173 Cal
Albanian Pancake,11.6 g,76.7 g,30.1 g,2.8 g,242.0 g - 629 Cal
Albanian Style Liver,14.5 g,5.0 g,6.5 g,1.0 g,100.0 g - 134 Cal
"Albela Pyaz, Prakash Namkeen",3.3 g,11.1 g,11.7 g,0.0 g,28.3 g - 162 Cal
"Alcoholic beverage, wine, table, all",0.1 g,4.0 g,0.0 g,0.0 g,148.0 ml - 123 Cal
"Alcoholic Aperitif 45% Alcohol, Pastis",0.0 g,0.0 g,0.0 g,0.0 g,40.0 ml - 106 Cal
"Alcoholic Beverage, Beer, Regular, All",1.6 g,12.6 g,0.0 g,0.0 g,356.0 ml - 153 Cal
"Alcohol, Campari",0.0 g,8.0 g,0.0 g,0.0 g,28.0 ml - 80 Cal
Alcohol Free Beer,1.3 g,8.6 g,0.0 g,0.0 g,330.0 ml - 145 Cal
Alcoholic Popsicle,0.1 g,20.3 g,0.1 g,0.1 g,104.0 g - 104 Cal
Alcoholic Beverage,0.0 g,0.1 g,0.0 g,0.0 g,42.0 ml - 105 Cal
Alcachofa con Verduras,3.2 g,15.5 g,2.3 g,4.8 g,150.0 g - 94 Cal
"Aldi Sports Protein Cookie, Chocolate Chip, Aldi",19.0 g,38.0 g,8.0 g,2.4 g,80.0 g - 275 Cal
"Harvest Morn Fruit and Fibre, Aldi",0.6 g,4.0 g,0.4 g,0.5 g,6.0 g - 23 Cal
"GoldenVale Fruit and Nut Muesli, Aldi",6.4 g,21.5 g,12.1 g,6.2 g,50.0 g - 232 Cal
"Duneen Dairy No Added Sugar 0% Fat Natural Irish Yogurt, Aldi",6.0 g,9.8 g,0.5 g,0.0 g,125.0 g - 68 Cal
"Duneen Dairy No Added Sugar Natural Irish Yogurt, 0% Fat, Aldi",6.0 g,9.8 g,0.5 g,0.0 g,125.0 g - 68 Cal
"Nature's Pick Sweet and Crunchy Salad, Aldi",4.1 g,11.2 g,2.4 g,5.1 g,340.0 g - 92 Cal
"Almond Milk Chocolate, No Added Sugar, Alfredo",2.2 g,12.2 g,9.6 g,0.9 g,25.0 g - 127 Cal
"No Added Sugar Almond Milk Chocolate, Alfredo",2.2 g,12.2 g,9.6 g,0.9 g,25.0 g - 127 Cal
Ale,0.1 g,0.3 g,0.0 g,0.1 g,2.0 g - 1 Cal
"Ale of Grapefruits, Gunsberg",0.0 g,26.5 g,0.0 g,0.0 g,325.0 ml - 106 Cal
"Ale81 Soft Drink, The Original, Ale-8-One",0.0 g,30.0 g,0.0 g,0.0 g,354.0 ml - 120 Cal
Alepak,0.2 g,12.4 g,0.4 g,0.4 g,20.0 g - 52 Cal
Aleepak,4.2 g,21.1 g,3.0 g,0.8 g,50.0 g - 127 Cal
Alembong,0.0 g,0.0 g,0.0 g,0.0 g,1.0 g - 0 Cal
"Alesto Almonds, Lidl",7.4 g,1.5 g,16.0 g,3.6 g,30.0 g - 186 Cal
Alexander Kebab,19.9 g,35.3 g,27.1 g,3.4 g,280.0 g - 464 Cal
Alface,0.5 g,0.6 g,0.1 g,0.3 g,24.0 g - 5 Cal
Alfajor,0.8 g,12.6 g,2.7 g,0.1 g,20.0 g - 78 Cal
Alfredo Oats,10.6 g,17.8 g,8.8 g,2.9 g,216.0 g - 193 Cal
Alfam Chicken,19.7 g,2.2 g,7.2 g,1.0 g,110.0 g - 156 Cal
Alfredo Pasta,12.1 g,39.0 g,24.7 g,1.5 g,216.0 g - 425 Cal
Alfaham Dejaj,19.7 g,2.2 g,7.2 g,1.0 g,110.0 g - 156 Cal
Alfredo Sauce,27.7 g,7.7 g,82.0 g,0.4 g,250.0 g - 881 Cal
Alfalfa Seeds,0.7 g,0.3 g,0.2 g,0.3 g,3.7 g - 4 Cal
Algerian Coca,4.0 g,25.8 g,11.6 g,1.8 g,100.0 g - 225 Cal
Algarve Salad,1.5 g,4.2 g,1.0 g,1.6 g,83.0 g - 31 Cal
Algerian Dates,0.2 g,5.3 g,0.0 g,0.6 g,7.1 g - 20 Cal
Algerian Bread,10.2 g,73.3 g,10.7 g,3.8 g,140.0 g - 430 Cal
Algerian Chorba,12.3 g,24.9 g,7.4 g,3.6 g,250.0 g - 215 Cal
Algerienne Sauce,0.1 g,0.8 g,2.1 g,0.1 g,5.0 g - 22 Cal
Algerian Karantika,0.6 g,1.4 g,0.9 g,0.3 g,15.0 g - 16 Cal
Algerian Chakhchoukha,41.4 g,108.1 g,4.9 g,7.5 g,494.0 g - 649 Cal
Achari Aloo,1.2 g,15.6 g,4.6 g,1.5 g,100.0 g - 108 Cal
"Almond Drink, Alt Co.",2.5 g,9.3 g,12.5 g,0.0 g,250.0 ml - 175 Cal
Aloo ka Achaar,0.1 g,0.8 g,0.5 g,0.1 g,5.0 g - 8 Cal
Humus Alsham,6.6 g,25.4 g,2.1 g,10.7 g,250.0 g - 144 Cal
Aloha Salmon,23.8 g,3.9 g,7.6 g,1.1 g,166.0 g - 183 Cal
Alphagetti,9.4 g,40.0 g,4.0 g,2.8 g,250.0 g - 232 Cal
Ali vidai,0.5 g,0.7 g,0.9 g,0.7 g,2.5 g - 13 Cal
Ali Vitai Valai Pazha Milkshake,6.2 g,37.0 g,7.0 g,2.9 g,250.0 ml - 234 Cal
"Alicafe 5 dalam 1 Kopi Pracampur,  Tongkat Ali dan Ginseng, Power Root",0.8 g,22.5 g,3.6 g,0.0 g,30.0 g - 126 Cal
"Alicafe 5 in 1 Instant Premix Coffee Drink, Tongkat Ali and Ginseng, Power Root",0.8 g,22.5 g,3.6 g,0.0 g,30.0 g - 126 Cal
Alipak,4.2 g,21.1 g,3.0 g,0.8 g,50.0 g - 127 Cal
Alivirai,0.1 g,0.1 g,0.0 g,0.0 g,1.0 g - 1 Cal
Aliv Seed,2.3 g,3.0 g,2.2 g,1.1 g,9.0 g - 41 Cal
Aliv Ladoo,1.8 g,11.3 g,5.5 g,2.0 g,30.0 g - 102 Cal
Anjeer Aloo Sabji,1.9 g,19.8 g,3.7 g,2.9 g,150.0 g - 116 Cal
Aloo Anjeer Curry,1.7 g,17.4 g,3.6 g,2.8 g,150.0 g - 104 Cal
"Sebastes Alutus, All Fish",34.0 g,0.0 g,2.6 g,0.0 g,200.0 g - 160 Cal
All Natural Almond Butter,4.0 g,2.4 g,9.0 g,1.6 g,16.0 g - 105 Cal
Alkaline Water,0.0 g,0.0 g,0.0 g,0.0 g,250.0 ml - 0 Cal
Alkagizer Mild,0.9 g,22.9 g,0.9 g,5.6 g,250.0 ml - 102 Cal
Alkagizer Prime,3.0 g,5.4 g,6.7 g,5.0 g,250.0 ml - 90 Cal
"Alka Pro, Nutrirem",4.2 g,10.1 g,0.9 g,0.0 g,20.0 g - 53 Cal
Alkaline Kee Chang,6.2 g,62.1 g,2.1 g,1.5 g,142.8 g - 293 Cal
"Alkaline Spring Water, Ten",0.0 g,0.0 g,0.0 g,0.0 g,250.0 ml - 0 Cal
Alkaline Vegetable Curry,2.9 g,11.6 g,6.9 g,3.4 g,150.0 g - 112 Cal
"Alkalizing Super Greens, Palak Notes",1.0 g,3.2 g,0.0 g,2.0 g,5.0 g - 21 Cal
All Bran Wheat Flakes,4.4 g,32.1 g,0.7 g,5.0 g,40.0 g - 143 Cal
"All Day Energy, Cosmix",0.1 g,2.6 g,0.0 g,0.0 g,3.0 g - 11 Cal
"All-Bran Buds, Kellogg's",2.1 g,24.0 g,0.7 g,12.9 g,30.0 g - 75 Cal
"All Good Bars, Nutcase",4.7 g,9.9 g,9.6 g,0.0 g,30.0 g - 144 Cal
Almond,0.3 g,0.3 g,0.6 g,0.2 g,1.2 g - 7 Cal
Almonds,0.3 g,0.3 g,0.6 g,0.2 g,1.2 g - 7 Cal
Almased,3.4 g,1.9 g,0.1 g,0.1 g,6.3 g - 23 Cal
Almendra,0.3 g,0.3 g,0.6 g,0.2 g,1.2 g - 7 Cal
